topic_i,topic_j,phi,label_cosine,divergence
Science issues,State of the Antarctic Environment Report SAER,0.041666666666666664,0.0,-0.13333333333333333
Area Protection and Management Plans General,Science issues,0.041666666666666664,0.0,-0.13333333333333333
Institutional and legal matters,Operation of the CEP,0.23076923076923078,0.0204752437244524,-0.13484848484848483
Marine Protected Areas,Operation of the Antarctic Treaty system Reports,0.2,0.011923307095881025,-0.13585858585858585
Biological Prospecting,Environmental Domains Analysis,0.14285714285714285,0.004371361411669368,-0.13686868686868686
Comprehensive Environmental Evaluations,Environmental Protection General,0.36,0.30197637308889297,-0.13737373737373748
CEP Strategy Discussions,International Polar Year,0.14285714285714285,0.004422090449421917,-0.13787878787878788
Nonnative Species and Quarantine,Search and Rescue,0.26666666666666666,0.038115212821343565,-0.13888888888888884
Drilling,Educational issues,0.038461538461538464,0.0,-0.1398989898989899
Educational issues,Multiyear strategic workplan,0.038461538461538464,0.0,-0.1398989898989899
Liability,Marine living resources,0.23529411764705882,0.026719015246479336,-0.14040404040404042
Environmental Monitoring and Reporting,Environmental Protection General,0.36,0.32379454191891754,-0.14141414141414144
Human Footprint and wilderness values,Operational issues,0.2631578947368421,0.03659384417709909,-0.14343434343434347
Operation of the Antarctic Treaty system The Secretariat,Tourism and NG_Activities,0.17647058823529413,0.008468726586353838,-0.14595959595959596
Mineral resources,Safety and Operations in Antarctica,0.17647058823529413,0.0085006526646187,-0.147979797979798
Environmental Protection General,Operation of the Antarctic Treaty system The Secretariat,0.28,0.04708499975602589,-0.14949494949494946
Comprehensive Environmental Evaluations,Nonnative Species and Quarantine,0.26666666666666666,0.040900228569821256,-0.15303030303030296
Emergency report and contingency planning,Historic Sites and Monuments,0.23076923076923078,0.02423652869664682,-0.15303030303030302
Fauna and Flora_General,Repair and remediation of environmental damage,0.25,0.033860947356525055,-0.1540404040404041
Area Protection and Management Plans General,International Polar Year,0.21428571428571427,0.01685189491192255,-0.1550505050505051
Biological Prospecting,Inspections,0.3157894736842105,0.18423725270048896,-0.1575757575757576
Human Footprint and wilderness values,Marine Acoustics,0.18181818181818182,0.009980870084121024,-0.16060606060606059
Cooperation with Other Organisations,Historic Sites and Monuments,0.0,0.0,-0.16262626262626262
International Polar Year,Marine Protected Areas,0.0,0.0,-0.16262626262626262
Cooperation with Other Organisations,Drilling,0.0,0.0,-0.16262626262626262
Prevention of marine pollution,Sub glacial Lakes,0.0,0.0,-0.16262626262626262
Operation of the Antarctic Treaty system The Secretariat,Sub glacial Lakes,0.0,0.0,-0.16262626262626262
Search and Rescue,Sub glacial Lakes,0.0,0.0,-0.16262626262626262
Environmental Domains Analysis,Marine living resources,0.0,0.0,-0.16262626262626262
Science issues,Search and Rescue,0.0,0.0,-0.16262626262626262
Environmental Domains Analysis,Exchange of Information,0.0,0.0,-0.16262626262626262
Emergency report and contingency planning,Operation of the CEP,0.0,0.0,-0.16262626262626262
Educational issues,State of the Antarctic Environment Report SAER,0.0,0.0,-0.16262626262626262
Multiyear strategic workplan,Prevention of marine pollution,0.0,0.0,-0.16262626262626262
Marine Protected Areas,Science issues,0.0,0.0,-0.16262626262626262
Drilling,Prevention of marine pollution,0.0,0.0,-0.16262626262626262
Climate Change,Drilling,0.0,0.0,-0.16262626262626262
Marine Protected Areas,State of the Antarctic Environment Report SAER,0.0,0.0,-0.16262626262626262
Management Plans,Sub glacial Lakes,0.0,0.0,-0.16262626262626262
Marine Protected Areas,Sub glacial Lakes,0.0,0.0,-0.16262626262626262
International Polar Year,Tourism and NG_Activities,0.0,0.0,-0.16262626262626262
International Polar Year,Operation of the CEP,0.2857142857142857,0.05284851700927594,-0.16262626262626267
CEP Strategy Discussions,Exchange of Information,0.13636363636363635,0.004600360820654061,-0.16313131313131315
Operation of the Antarctic Treaty system Reports,Prevention of marine pollution,0.3,0.0747902639300464,-0.16363636363636358
CEP Strategy Discussions,Operation of the Antarctic Treaty system The Secretariat,0.17647058823529413,0.009305420409586642,-0.16616161616161612
Environmental Monitoring and Reporting,Institutional and legal matters,0.25,0.035124576992583124,-0.16616161616161618
Repair and remediation of environmental damage,Safety and Operations in Antarctica,0.29411764705882354,0.06403663323369362,-0.16666666666666663
Educational issues,Inspections,0.23076923076923078,0.026073672455309522,-0.16717171717171714
International Polar Year,Operational issues,0.3157894736842105,0.20213671894036908,-0.16868686868686866
Nonnative Species and Quarantine,Specially Protected Species,0.3333333333333333,0.30391735392609587,-0.1717171717171717
Biological Prospecting,Nonnative Species and Quarantine,0.26666666666666666,0.04446856417525369,-0.17323232323232318
Opening statements,Safety and Operations in Antarctica,0.2413793103448276,0.03258141318533564,-0.17373737373737375
CEP Strategy Discussions,Operational issues,0.21052631578947367,0.017519652052749517,-0.1742424242424242
Environmental Monitoring and Reporting,Mineral resources,0.2,0.01471186713898038,-0.17424242424242425
CEP Strategy Discussions,Cooperation with Other Organisations,0.2857142857142857,0.05898234969493317,-0.17474747474747476
Educational issues,Historic Sites and Monuments,0.15384615384615385,0.007443765454794036,-0.17575757575757572
CEP Strategy Discussions,Management Plans,0.1875,0.01180738994035186,-0.17626262626262623
Fauna and Flora_General,State of the Antarctic Environment Report SAER,0.125,0.0042303612103547555,-0.1762626262626263
Area Protection and Management Plans General,Environmental Impact Assessment EIA Other EIA Matters,0.2727272727272727,0.04933249261896256,-0.17676767676767668
Historic Sites and Monuments,Operation of the Antarctic Treaty system General,0.19230769230769232,0.012888264394712176,-0.17676767676767674
Environmental Monitoring and Reporting,Fauna and Flora_General,0.25,0.03679534226148347,-0.17727272727272725
Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system The Secretariat,0.34615384615384615,0.7216132514988355,-0.17727272727272725
Operational issues,Site Guidelines for Visitors,0.15789473684210525,0.008168430774294615,-0.17727272727272725
Institutional and legal matters,Operation of the Antarctic Treaty system Reports,0.2,0.01511397418592668,-0.1772727272727273
Emergency report and contingency planning,Operation of the Antarctic Treaty system The Secretariat,0.11764705882352941,0.002500031850074266,-0.1782828282828283
Biological Prospecting,Environmental Monitoring and Reporting,0.3,0.09023179567134987,-0.17878787878787872
Climate Change,Opening statements,0.20689655172413793,0.01715571212670556,-0.18030303030303024
Operational issues,Science issues,0.3333333333333333,0.3936189973669467,-0.18484848484848493
CEP Strategy Discussions,Comprehensive Environmental Evaluations,0.26666666666666666,0.04685408706936779,-0.1863636363636363
Emergency report and contingency planning,Operation of the Antarctic Treaty system Reports,0.3,0.10120691399590656,-0.18686868686868685
Institutional and legal matters,Marine living resources,0.15384615384615385,0.00800525916449273,-0.18686868686868685
Biological Prospecting,State of the Antarctic Environment Report SAER,0.14285714285714285,0.006578143349453511,-0.18737373737373736
Environmental Impact Assessment EIA Other EIA Matters,Tourism and NG_Activities,0.18181818181818182,0.011520653176120832,-0.18787878787878792
Institutional and legal matters,Marine Acoustics,0.23076923076923078,0.02850376399807971,-0.18838383838383838
Multiyear strategic workplan,Search and Rescue,0.2,0.016286333296932545,-0.19141414141414143
Climate Change,Environmental Impact Assessment EIA Other EIA Matters,0.18181818181818182,0.011558940384646707,-0.191919191919192
Historic Sites and Monuments,State of the Antarctic Environment Report SAER,0.23076923076923078,0.029069951048580712,-0.19444444444444448
Environmental Monitoring and Reporting,Operation of the Antarctic Treaty system Reports,0.3,0.12810785341373018,-0.1969696969696969
Environmental Monitoring and Reporting,Historic Sites and Monuments,0.3,0.1322559898451437,-0.19898989898989894
Environmental Impact Assessment EIA Other EIA Matters,Prevention of marine pollution,0.18181818181818182,0.01226446143038966,-0.2050505050505051
Climate Change,Emergency report and contingency planning,0.1875,0.013909536882979443,-0.2055555555555556
Area Protection and Management Plans General,Environmental Protection General,0.32,0.5259246227888361,-0.20606060606060606
Institutional and legal matters,Mineral resources,0.15384615384615385,0.009030827380344619,-0.21010101010101007
Nonnative Species and Quarantine,Sub glacial Lakes,0.13333333333333333,0.00658127324683465,-0.21515151515151512
Operation of the Antarctic Treaty system General,Operational issues,0.3076923076923077,0.23544957068647143,-0.2176767676767677
Inspections,State of the Antarctic Environment Report SAER,0.15789473684210525,0.010357407841348325,-0.22474747474747475
Operation of the Antarctic Treaty system General,Search and Rescue,0.19230769230769232,0.01714380011071115,-0.22626262626262633
Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.25,0.04671289375844016,-0.22777777777777775
Management Plans,Multiyear strategic workplan,0.25,0.046746894213681375,-0.22878787878787876
Emergency report and contingency planning,Environmental Domains Analysis,0.09090909090909091,0.0031203490408135788,-0.23181818181818184
Exchange of Information,Operation of the Antarctic Treaty system Reports,0.2727272727272727,0.07603226024806686,-0.23333333333333328
Management Plans,Opening statements,0.27586206896551724,0.08951930709116027,-0.2333333333333334
Management Plans,Waste management and disposal,0.3125,0.465980445669281,-0.23383838383838385
CEP Strategy Discussions,Educational issues,0.11538461538461539,0.0053407470242285175,-0.23383838383838385
Area Protection and Management Plans General,Tourism and NG_Activities,0.23076923076923078,0.03538505175039693,-0.24191919191919192
Environmental Impact Assessment EIA Other EIA Matters,Sub glacial Lakes,0.09090909090909091,0.0038779851784747073,-0.2429292929292929
Area Protection and Management Plans General,Waste management and disposal,0.3076923076923077,0.3372393020522337,-0.24494949494949492
Environmental Domains Analysis,Prevention of marine pollution,0.1111111111111111,0.005473206293225127,-0.24494949494949494
Operation of the Antarctic Treaty system Reports,Tourism and NG_Activities,0.15,0.009961038770080534,-0.24545454545454543
Mineral resources,Operation of the Antarctic Treaty system The Secretariat,0.11764705882352941,0.0064171894290620994,-0.24696969696969698
Institutional and legal matters,International Polar Year,0.2857142857142857,0.14056775310058717,-0.24747474747474751
Area Protection and Management Plans General,Educational issues,0.19230769230769232,0.020352751404084834,-0.24848484848484848
Cooperation with Other Organisations,Emergency report and contingency planning,0.14285714285714285,0.009345369618614263,-0.24898989898989898
Repair and remediation of environmental damage,Search and Rescue,0.25,0.05124762891900523,-0.251010101010101
Cooperation with Other Organisations,Opening statements,0.13793103448275862,0.00865398306343166,-0.2515151515151515
Opening statements,Repair and remediation of environmental damage,0.20689655172413793,0.02827530870091259,-0.252020202020202
Environmental Monitoring and Reporting,Sub glacial Lakes,0.1,0.004943745283825418,-0.25202020202020203
Nonnative Species and Quarantine,Operation of the CEP,0.13333333333333333,0.008400968123543828,-0.2525252525252525
Exchange of Information,Site Guidelines for Visitors,0.18181818181818182,0.016290728736690654,-0.25353535353535356
Site Guidelines for Visitors,Waste management and disposal,0.15384615384615385,0.011324742007007555,-0.25555555555555554
Historic Sites and Monuments,Opening statements,0.27586206896551724,0.13461249812423293,-0.25757575757575757
Operation of the Antarctic Treaty system Reports,Search and Rescue,0.2,0.02659193942524555,-0.2580808080808081
Historic Sites and Monuments,Science issues,0.125,0.00797249694370993,-0.2590909090909091
Environmental Domains Analysis,Search and Rescue,0.1,0.005333001257893594,-0.2590909090909091
Multiyear strategic workplan,Safety and Operations in Antarctica,0.11764705882352941,0.006983749946458081,-0.26010101010101006
Search and Rescue,State of the Antarctic Environment Report SAER,0.2,0.02699957516538124,-0.2611111111111111
Environmental Monitoring and Reporting,Repair and remediation of environmental damage,0.3,0.2975978261023311,-0.26262626262626265
Repair and remediation of environmental damage,Sub glacial Lakes,0.08333333333333333,0.004549486117293489,-0.26666666666666666
International Polar Year,Safety and Operations in Antarctica,0.23529411764705882,0.045011423228169097,-0.2666666666666667
Environmental Impact Assessment EIA Other EIA Matters,Site Guidelines for Visitors,0.13636363636363635,0.009278800939888776,-0.2681818181818182
Marine Acoustics,Operation of the Antarctic Treaty system Reports,0.15,0.011296690377901186,-0.2696969696969697
Institutional and legal matters,Search and Rescue,0.23076923076923078,0.0402540225895124,-0.27020202020202017
Educational issues,Site Guidelines for Visitors,0.11538461538461539,0.006965637483107378,-0.2712121212121212
Environmental Protection General,Fauna and Flora_General,0.28,0.19536841630055113,-0.2767676767676768
Operational issues,Prevention of marine pollution,0.21052631578947367,0.03225946630993193,-0.2772727272727272
Fauna and Flora_General,Safety and Operations in Antarctica,0.23529411764705882,0.04688837412476564,-0.2777777777777778
Historic Sites and Monuments,Search and Rescue,0.23076923076923078,0.04142274993456854,-0.2792929292929293
Exchange of Information,Institutional and legal matters,0.22727272727272727,0.03726898689608388,-0.2803030303030303
Area Protection and Management Plans General,Operational issues,0.21052631578947367,0.03271310087552617,-0.2813131313131313
CEP Strategy Discussions,Inspections,0.2631578947368421,0.09003941771844273,-0.28181818181818186
Operation of the Antarctic Treaty system The Secretariat,Safety and Operations in Antarctica,0.29411764705882354,0.3188148838247865,-0.28888888888888886
Educational issues,Prevention of marine pollution,0.19230769230769232,0.027509292044273482,-0.28989898989898993
Operation of the Antarctic Treaty system General,Sub glacial Lakes,0.07692307692307693,0.005036031158051404,-0.2909090909090909
Biological Prospecting,Waste management and disposal,0.07142857142857142,0.004520391710531348,-0.2919191919191919
Comprehensive Environmental Evaluations,International Polar Year,0.2,0.030323209804121173,-0.2924242424242424
Environmental Protection General,Marine Protected Areas,0.28,0.2333971964527481,-0.29393939393939394
Opening statements,Operation of the Antarctic Treaty system Reports,0.2413793103448276,0.05808645975628113,-0.29393939393939394
Educational issues,International Polar Year,0.2692307692307692,0.17237228851767616,-0.2954545454545454
Environmental Domains Analysis,Nonnative Species and Quarantine,0.06666666666666667,0.00368908320456683,-0.29545454545454547
Science issues,Sub glacial Lakes,0.125,0.009834623819316655,-0.29949494949494954
Marine living resources,Sub glacial Lakes,0.1111111111111111,0.008160505521301585,-0.30353535353535355
Comprehensive Environmental Evaluations,Sub glacial Lakes,0.06666666666666667,0.004426812823900969,-0.3095959595959596
Emergency report and contingency planning,Multiyear strategic workplan,0.18181818181818182,0.02500135920182025,-0.31111111111111117
Biological Prospecting,Sub glacial Lakes,0.07142857142857142,0.005402920938061697,-0.31313131313131315
Inspections,Safety and Operations in Antarctica,0.2631578947368421,0.15627814098657145,-0.3161616161616162
Operation of the Antarctic Treaty system Reports,Repair and remediation of environmental damage,0.25,0.09585703078502021,-0.31666666666666665
Institutional and legal matters,Operational issues,0.2631578947368421,0.16420117191027425,-0.3171717171717171
Safety and Operations in Antarctica,Search and Rescue,0.23529411764705882,0.06104933148913656,-0.31818181818181823
Fauna and Flora_General,Human Footprint and wilderness values,0.1875,0.028536877053836666,-0.3207070707070707
Emergency report and contingency planning,Operation of the Antarctic Treaty system General,0.15384615384615385,0.016209197580070757,-0.32121212121212117
Nonnative Species and Quarantine,State of the Antarctic Environment Report SAER,0.13333333333333333,0.011792257224590028,-0.3232323232323232
CEP Strategy Discussions,Prevention of marine pollution,0.08333333333333333,0.007120423125205126,-0.32626262626262625
International Polar Year,Mineral resources,0.07142857142857142,0.0058343658108119725,-0.32727272727272727
Cooperation with Other Organisations,Multiyear strategic workplan,0.07142857142857142,0.005904430591451929,-0.3282828282828283
Climate Change,Exchange of Information,0.2727272727272727,0.2888599915971076,-0.3282828282828283
Area Protection and Management Plans General,State of the Antarctic Environment Report SAER,0.23076923076923078,0.05235816942996009,-0.3287878787878788
Exchange of Information,Safety and Operations in Antarctica,0.22727272727272727,0.04682599559396541,-0.32979797979797976
Area Protection and Management Plans General,Safety and Operations in Antarctica,0.23529411764705882,0.06727121885553583,-0.3303030303030303
Operation of the Antarctic Treaty system The Secretariat,Repair and remediation of environmental damage,0.23529411764705882,0.0687353033614005,-0.33131313131313134
Fauna and Flora_General,Operation of the CEP,0.125,0.011535759821390637,-0.33282828282828286
Science issues,Site Guidelines for Visitors,0.08333333333333333,0.0074604074889677565,-0.33434343434343433
Comprehensive Environmental Evaluations,Prevention of marine pollution,0.2,0.03615381912823667,-0.3358585858585859
Educational issues,Specially Protected Species,0.07692307692307693,0.007142460546091139,-0.3383838383838384
Historic Sites and Monuments,Sub glacial Lakes,0.07692307692307693,0.007152378690170672,-0.3393939393939394
Operation of the Antarctic Treaty system General,Tourism and NG_Activities,0.11538461538461539,0.010171112622614083,-0.33989898989898987
Cooperation with Other Organisations,Educational issues,0.23076923076923078,0.057504028237168506,-0.3409090909090909
Marine Protected Areas,Specially Protected Species,0.2727272727272727,0.3617505881942717,-0.3414141414141414
Mineral resources,Operation of the Antarctic Treaty system Reports,0.15,0.017062661581343223,-0.34646464646464653
Prevention of marine pollution,Specially Protected Species,0.1,0.009120750117135468,-0.346969696969697
Cooperation with Other Organisations,Environmental Domains Analysis,0.07142857142857142,0.007002833779182532,-0.3505050505050505
Climate Change,Multiyear strategic workplan,0.125,0.012701761994876088,-0.35101010101010105
Fauna and Flora_General,Sub glacial Lakes,0.0625,0.00578264885315939,-0.352020202020202
Comprehensive Environmental Evaluations,Safety and Operations in Antarctica,0.23529411764705882,0.08679158153908745,-0.3535353535353536
Site Guidelines for Visitors,State of the Antarctic Environment Report SAER,0.1111111111111111,0.01047863619865304,-0.35404040404040404
Environmental Domains Analysis,Operation of the Antarctic Treaty system Reports,0.1,0.00960531856541356,-0.35505050505050506
Environmental Domains Analysis,Historic Sites and Monuments,0.15384615384615385,0.020996926616775484,-0.35656565656565653
Environmental Monitoring and Reporting,Safety and Operations in Antarctica,0.2,0.04008615849445952,-0.35707070707070704
Opening statements,Prevention of marine pollution,0.06896551724137931,0.006763695392148365,-0.35858585858585856
Cooperation with Other Organisations,International Polar Year,0.21428571428571427,0.04761281762968422,-0.3590909090909091
Fauna and Flora_General,Tourism and NG_Activities,0.1875,0.03398186293458965,-0.36010101010101014
Management Plans,Marine Acoustics,0.125,0.013420907451462677,-0.3621212121212121
Institutional and legal matters,Operation of the Antarctic Treaty system General,0.15384615384615385,0.022149949116865165,-0.36262626262626263
Mineral resources,Operation of the CEP,0.125,0.013506575353060006,-0.36313131313131314
Multiyear strategic workplan,Operation of the Antarctic Treaty system The Secretariat,0.11764705882352941,0.012138066938382519,-0.3651515151515151
State of the Antarctic Environment Report SAER,Tourism and NG_Activities,0.1,0.010113734492894462,-0.3651515151515151
Fauna and Flora_General,Historic Sites and Monuments,0.1875,0.03434068002450237,-0.3651515151515151
Marine Acoustics,Operation of the Antarctic Treaty system General,0.11538461538461539,0.011534932525466406,-0.36515151515151517
CEP Strategy Discussions,Opening statements,0.1724137931034483,0.028306037617249816,-0.3656565656565656
Biological Prospecting,Marine Protected Areas,0.21428571428571427,0.04966220644910356,-0.36717171717171715
Drilling,Marine living resources,0.2222222222222222,0.05270357065486507,-0.3671717171717172
CEP Strategy Discussions,Multiyear strategic workplan,0.25,0.2064320701503538,-0.36818181818181817
Human Footprint and wilderness values,Safety and Operations in Antarctica,0.17647058823529413,0.029861948566304475,-0.3691919191919191
Marine Acoustics,Mineral resources,0.125,0.014104471730193854,-0.36919191919191924
Area Protection and Management Plans General,Prevention of marine pollution,0.23076923076923078,0.07377950896121435,-0.37121212121212116
Educational issues,Repair and remediation of environmental damage,0.19230769230769232,0.03763749764343209,-0.3717171717171717
Comprehensive Environmental Evaluations,Operation of the CEP,0.2,0.041970928762936885,-0.3732323232323233
Cooperation with Other Organisations,State of the Antarctic Environment Report SAER,0.14285714285714285,0.01878052894543348,-0.3762626262626263
Area Protection and Management Plans General,Sub glacial Lakes,0.0,0.004957185351254449,-0.3808080808080808
Operation of the Antarctic Treaty system The Secretariat,Search and Rescue,0.17647058823529413,0.031019294869480372,-0.3813131313131313
Area Protection and Management Plans General,Exchange of Information,0.18181818181818182,0.034054470254590845,-0.3828282828282829
Repair and remediation of environmental damage,State of the Antarctic Environment Report SAER,0.25,0.24038905021366136,-0.3843434343434343
Climate Change,Repair and remediation of environmental damage,0.125,0.015505531832868786,-0.3863636363636364
Environmental Protection General,Specially Protected Species,0.24,0.18434980716143476,-0.38737373737373737
Environmental Monitoring and Reporting,Marine Acoustics,0.1,0.011323553505193956,-0.38737373737373737
Mineral resources,Sub glacial Lakes,0.125,0.016005479072062213,-0.3914141414141414
Climate Change,Waste management and disposal,0.125,0.016131209327198786,-0.3924242424242424
Environmental Domains Analysis,Mineral resources,0.0,0.005477898275953482,-0.3929292929292929
Area Protection and Management Plans General,Emergency report and contingency planning,0.23076923076923078,0.0983074468960253,-0.39444444444444443
Mineral resources,Science issues,0.08333333333333333,0.010293807050210258,-0.39595959595959596
Area Protection and Management Plans General,Mineral resources,0.23076923076923078,0.10193696161731375,-0.3984848484848485
Historic Sites and Monuments,Site Guidelines for Visitors,0.23076923076923078,0.11657206777875376,-0.40252525252525256
Human Footprint and wilderness values,Sub glacial Lakes,0.0,0.0059435791946534,-0.40606060606060607
Exchange of Information,Repair and remediation of environmental damage,0.22727272727272727,0.0829991194139672,-0.4065656565656566
Fauna and Flora_General,Institutional and legal matters,0.1875,0.041084862427763005,-0.4075757575757576
Multiyear strategic workplan,Operation of the Antarctic Treaty system General,0.11538461538461539,0.014578064906482132,-0.40858585858585855
Biological Prospecting,Prevention of marine pollution,0.07142857142857142,0.009793993262581449,-0.4090909090909091
Exchange of Information,Prevention of marine pollution,0.22727272727272727,0.08793467230703556,-0.41060606060606064
Educational issues,Tourism and NG_Activities,0.038461538461538464,0.007365987430113796,-0.4126262626262626
Science issues,Tourism and NG_Activities,0.041666666666666664,0.007889194337278175,-0.41515151515151516
Site Guidelines for Visitors,Sub glacial Lakes,0.0,0.006692967074284287,-0.4212121212121212
Comprehensive Environmental Evaluations,Operation of the Antarctic Treaty system Reports,0.15,0.02839006898943636,-0.4222222222222222
Environmental Domains Analysis,Fauna and Flora_General,0.0625,0.009099804448287872,-0.42272727272727273
Operation of the Antarctic Treaty system Reports,Operation of the Antarctic Treaty system The Secretariat,0.25,0.7034688939872034,-0.42373737373737375
Area Protection and Management Plans General,Operation of the Antarctic Treaty system Reports,0.2,0.05328501403492952,-0.4237373737373738
Sub glacial Lakes,Tourism and NG_Activities,0.0,0.007077645292179438,-0.42828282828282827
Human Footprint and wilderness values,International Polar Year,0.14285714285714285,0.027812216304617467,-0.42979797979797985
Multiyear strategic workplan,Operation of the Antarctic Treaty system Reports,0.1,0.014276969994743583,-0.43080808080808075
Cooperation with Other Organisations,Mineral resources,0.0,0.0071869001646797815,-0.43333333333333335
Environmental Protection General,Repair and remediation of environmental damage,0.24,0.3301662481832221,-0.4348484848484848
Mineral resources,Search and Rescue,0.2,0.059512292832336985,-0.4348484848484849
Inspections,Institutional and legal matters,0.21052631578947367,0.08214479293509792,-0.4398989898989899
Biological Prospecting,Specially Protected Species,0.21428571428571427,0.09811093362958907,-0.4398989898989899
International Polar Year,Multiyear strategic workplan,0.21428571428571427,0.10001295602447749,-0.44191919191919193
Drilling,Emergency report and contingency planning,0.18181818181818182,0.04425812247714644,-0.44242424242424244
Marine living resources,Science issues,0.041666666666666664,0.009096219334291488,-0.44343434343434346
Inspections,Prevention of marine pollution,0.15789473684210525,0.03476209965901318,-0.44494949494949493
Cooperation with Other Organisations,Management Plans,0.0625,0.010210702339349098,-0.44494949494949493
Climate Change,State of the Antarctic Environment Report SAER,0.1875,0.04824795123568252,-0.445959595959596
Nonnative Species and Quarantine,Science issues,0.125,0.024299911689889084,-0.44696969696969696
Cooperation with Other Organisations,Human Footprint and wilderness values,0.07142857142857142,0.011715613281367807,-0.4474747474747474
Environmental Domains Analysis,Operation of the Antarctic Treaty system The Secretariat,0.0,0.008166298574165499,-0.4515151515151515
Environmental Domains Analysis,Institutional and legal matters,0.15384615384615385,0.03400212126447556,-0.45151515151515154
Safety and Operations in Antarctica,Tourism and NG_Activities,0.17647058823529413,0.042567395454786494,-0.456060606060606
Educational issues,Marine living resources,0.0,0.008492963211889333,-0.4575757575757576
Science issues,Specially Protected Species,0.125,0.025339640133563428,-0.45808080808080803
Inspections,Specially Protected Species,0.21052631578947367,0.10735241374021075,-0.4590909090909091
Operational issues,Sub glacial Lakes,0.10526315789473684,0.01866252279802321,-0.46212121212121215
Institutional and legal matters,Sub glacial Lakes,0.0,0.00862798278903626,-0.4636363636363636
International Polar Year,Repair and remediation of environmental damage,0.14285714285714285,0.03116350917092972,-0.4641414141414142
Environmental Protection General,Sub glacial Lakes,0.04,0.010113659595765634,-0.4656565656565656
Marine living resources,Prevention of marine pollution,0.2222222222222222,0.18686845728164553,-0.4691919191919192
Biological Prospecting,Marine living resources,0.14285714285714285,0.03316140814948554,-0.4772727272727273
Marine Acoustics,Prevention of marine pollution,0.2222222222222222,0.20920860975231437,-0.4803030303030303
Operation of the Antarctic Treaty system General,Repair and remediation of environmental damage,0.19230769230769232,0.0729773093553606,-0.48181818181818187
Emergency report and contingency planning,Science issues,0.125,0.028524824175110822,-0.4823232323232323
Mineral resources,State of the Antarctic Environment Report SAER,0.0,0.009660523716532463,-0.48383838383838385
Operation of the Antarctic Treaty system General,Safety and Operations in Antarctica,0.23076923076923078,0.3799275069792159,-0.4863636363636364
Management Plans,State of the Antarctic Environment Report SAER,0.1875,0.06572519507299217,-0.48737373737373735
Operation of the Antarctic Treaty system General,Prevention of marine pollution,0.19230769230769232,0.07636755714598864,-0.4919191919191919
Environmental Protection General,Mineral resources,0.2,0.12716529596400972,-0.4954545454545454
Educational issues,Mineral resources,0.07692307692307693,0.01665753973119153,-0.495959595959596
Environmental Domains Analysis,International Polar Year,0.07142857142857142,0.015580968021307002,-0.49898989898989893
Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system Reports,0.23076923076923078,0.8042153786478037,-0.5005050505050506
Multiyear strategic workplan,Opening statements,0.10344827586206896,0.024959685877334624,-0.5025252525252526
Emergency report and contingency planning,Repair and remediation of environmental damage,0.16666666666666666,0.05042724760322216,-0.5111111111111111
Cooperation with Other Organisations,Environmental Protection General,0.16,0.04842409159807655,-0.5151515151515151
Cooperation with Other Organisations,Institutional and legal matters,0.07142857142857142,0.018446762568655947,-0.5222222222222223
Emergency report and contingency planning,Management Plans,0.1875,0.09604990341733624,-0.5227272727272727
CEP Strategy Discussions,Safety and Operations in Antarctica,0.17647058823529413,0.06670983705936269,-0.5287878787878788
Educational issues,Institutional and legal matters,0.19230769230769232,0.14002271298273133,-0.5313131313131314
Environmental Domains Analysis,Operation of the Antarctic Treaty system General,0.038461538461538464,0.013882410965739108,-0.5318181818181819
Marine living resources,Opening statements,0.13793103448275862,0.03969559049085074,-0.5323232323232323
Operation of the Antarctic Treaty system The Secretariat,Prevention of marine pollution,0.17647058823529413,0.07202118180284726,-0.5348484848484849
Fauna and Flora_General,Mineral resources,0.1875,0.11891136046420851,-0.5348484848484849
Fauna and Flora_General,Operation of the Antarctic Treaty system General,0.19230769230769232,0.17040997471245306,-0.5393939393939393
Educational issues,Human Footprint and wilderness values,0.11538461538461539,0.03120543708996591,-0.5398989898989899
CEP Strategy Discussions,Waste management and disposal,0.15384615384615385,0.0504775035342985,-0.5434343434343434
Environmental Monitoring and Reporting,Tourism and NG_Activities,0.1,0.029052027692584637,-0.545959595959596
Educational issues,Sub glacial Lakes,0.038461538461538464,0.015914484914329497,-0.555050505050505
Area Protection and Management Plans General,Cooperation with Other Organisations,0.14285714285714285,0.04681981263883586,-0.556060606060606
Prevention of marine pollution,Repair and remediation of environmental damage,0.16666666666666666,0.07374729914118752,-0.5585858585858586
Emergency report and contingency planning,Opening statements,0.1724137931034483,0.08769591191776954,-0.5656565656565657
Area Protection and Management Plans General,Operation of the Antarctic Treaty system General,0.19230769230769232,0.22772195785535576,-0.5666666666666667
Biological Prospecting,Multiyear strategic workplan,0.0,0.014811880978385176,-0.5666666666666667
Environmental Monitoring and Reporting,Human Footprint and wilderness values,0.1,0.03176361209140485,-0.5691919191919191
State of the Antarctic Environment Report SAER,Waste management and disposal,0.15384615384615385,0.06212950155227471,-0.5696969696969697
Environmental Protection General,Operation of the CEP,0.16,0.07436879143148639,-0.5717171717171716
Operation of the Antarctic Treaty system Reports,Safety and Operations in Antarctica,0.2,0.36778833036557457,-0.5742424242424242
Environmental Domains Analysis,Safety and Operations in Antarctica,0.058823529411764705,0.02204423001479655,-0.5772727272727273
