member,period_end,from_topic,to_topic,distance
Poland,2002,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
Poland,2002,Opening statements,Environmental Protection General,0.5172413793103448
Poland,2002,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Russian Federation,2002,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
SCAR,2002,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
SCAR,2002,Emergency report and contingency planning,Marine Acoustics,0.6363636363636364
SCAR,2002,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
SCAR,2002,State of the Antarctic Environment Report SAER,Sub glacial Lakes,0.8
Ukraine,2002,Science issues,Exchange of Information,0.5833333333333333
Ukraine,2002,Science issues,Operation of the Antarctic Treaty system General,0.5769230769230769
United Kingdom,2002,CEP Strategy Discussions,Biological Prospecting,0.5714285714285714
United Kingdom,2002,Inspections,Environmental Protection General,0.52
United Kingdom,2002,Inspections,Waste management and disposal,0.5263157894736843
Uruguay,2002,Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.5454545454545454
ASOC,2003,Environmental Protection General,Inspections,0.52
ASOC,2003,Emergency report and contingency planning,Marine Acoustics,0.6363636363636364
ASOC,2003,Marine Protected Areas,Prevention of marine pollution,0.5454545454545454
Argentina,2003,Specially Protected Species,Fauna and Flora_General,0.625
Argentina,2003,Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system General,0.5769230769230769
Argentina,2003,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Australia,2003,Management Plans,Comprehensive Environmental Evaluations,0.5625
Australia,2003,Inspections,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
COMNAP,2003,Emergency report and contingency planning,Tourism and NG_Activities,0.6363636363636364
Chile,2003,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Chile,2003,Management Plans,Nonnative Species and Quarantine,0.5625
Chile,2003,Educational issues,Science issues,0.3846153846153846
China,2003,Emergency report and contingency planning,Waste management and disposal,0.6153846153846154
Czechia,2003,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Estonia,2003,Operational issues,Exchange of Information,0.4545454545454546
Finland,2003,Environmental Protection General,Liability,0.52
France,2003,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
France,2003,Inspections,Historic Sites and Monuments,0.631578947368421
Germany,2003,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
IAATO,2003,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
IHO,2003,Operation of the Antarctic Treaty system Reports,Operational issues,0.6
IUCN,2003,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
IUCN,2003,Area Protection and Management Plans General,Marine Protected Areas,0.6153846153846154
India,2003,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
India,2003,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Italy,2003,Management Plans,Area Protection and Management Plans General,0.4375
Japan,2003,Waste management and disposal,International Polar Year,0.5
Japan,2003,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Korea (ROK),2003,Operational issues,Exchange of Information,0.4545454545454546
Netherlands,2003,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
New Zealand,2003,Management Plans,Biological Prospecting,0.6875
Norway,2003,Exchange of Information,Biological Prospecting,0.5909090909090908
Norway,2003,Exchange of Information,Operational issues,0.4545454545454546
Peru,2003,Fauna and Flora_General,Area Protection and Management Plans General,0.5625
Peru,2003,Fauna and Flora_General,Emergency report and contingency planning,0.625
Poland,2003,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Russian Federation,2003,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Russian Federation,2003,Waste management and disposal,International Polar Year,0.5
Russian Federation,2003,Drilling,Sub glacial Lakes,0.8333333333333334
SCAR,2003,Environmental Monitoring and Reporting,Comprehensive Environmental Evaluations,0.6
SCAR,2003,Science issues,International Polar Year,0.625
South Africa,2003,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Spain,2003,Environmental Protection General,Cooperation with Other Organisations,0.84
Spain,2003,Opening statements,International Polar Year,0.6551724137931034
Spain,2003,Environmental Protection General,Liability,0.52
Spain,2003,Environmental Protection General,Marine Acoustics,0.84
Sweden,2003,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
UNEP,2003,Opening statements,Inspections,0.6206896551724138
United Kingdom,2003,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
United States,2003,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Uruguay,2003,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
Uruguay,2003,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
ASOC,2004,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
ASOC,2004,Environmental Protection General,Operational issues,0.56
Argentina,2004,Comprehensive Environmental Evaluations,Management Plans,0.5625
Australia,2004,Nonnative Species and Quarantine,Tourism and NG_Activities,0.6666666666666667
Belgium,2004,Inspections,Operation of the Antarctic Treaty system General,0.5
Belgium,2004,Exchange of Information,Operational issues,0.4545454545454546
COMNAP,2004,Operation of the Antarctic Treaty system Reports,Fauna and Flora_General,0.6
Chile,2004,Operational issues,Exchange of Information,0.4545454545454546
China,2004,Waste management and disposal,International Polar Year,0.5
Czechia,2004,Environmental Protection General,Exchange of Information,0.48
Estonia,2004,Exchange of Information,Environmental Protection General,0.48
Finland,2004,Exchange of Information,Inspections,0.5
Finland,2004,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
France,2004,Tourism and NG_Activities,Drilling,0.7
France,2004,Historic Sites and Monuments,Management Plans,0.4375
France,2004,Tourism and NG_Activities,Search and Rescue,0.7
Germany,2004,Inspections,Area Protection and Management Plans General,0.5789473684210527
Germany,2004,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Germany,2004,Exchange of Information,Environmental Protection General,0.48
Germany,2004,Opening statements,International Polar Year,0.6551724137931034
Germany,2004,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
IAATO,2004,Environmental Impact Assessment EIA Other EIA Matters,Liability,0.6818181818181819
IHO,2004,Operational issues,Tourism and NG_Activities,0.7894736842105263
India,2004,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
India,2004,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Italy,2004,Area Protection and Management Plans General,Drilling,0.8461538461538461
Italy,2004,Exchange of Information,Liability,0.6363636363636364
Italy,2004,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Japan,2004,Exchange of Information,Environmental Protection General,0.48
Japan,2004,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Korea (ROK),2004,Science issues,International Polar Year,0.625
Korea (ROK),2004,Operational issues,Safety and Operations in Antarctica,0.631578947368421
Netherlands,2004,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
New Zealand,2004,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
New Zealand,2004,Comprehensive Environmental Evaluations,Environmental Monitoring and Reporting,0.6
New Zealand,2004,Area Protection and Management Plans General,Search and Rescue,0.6153846153846154
Norway,2004,Management Plans,Comprehensive Environmental Evaluations,0.5625
Norway,2004,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Norway,2004,Waste management and disposal,Search and Rescue,0.6923076923076923
Peru,2004,Operational issues,Exchange of Information,0.4545454545454546
Peru,2004,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Peru,2004,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Poland,2004,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Russian Federation,2004,Institutional and legal matters,Area Protection and Management Plans General,0.6153846153846154
Russian Federation,2004,Environmental Protection General,Inspections,0.52
South Africa,2004,Exchange of Information,Climate Change,0.7272727272727273
South Africa,2004,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
South Africa,2004,Opening statements,Science issues,0.5517241379310345
South Africa,2004,Operation of the Antarctic Treaty system General,Search and Rescue,0.8076923076923077
Spain,2004,Cooperation with Other Organisations,Fauna and Flora_General,0.625
Sweden,2004,State of the Antarctic Environment Report SAER,Environmental Domains Analysis,0.4
UNEP,2004,Opening statements,Biological Prospecting,0.6551724137931034
UNEP,2004,Inspections,Fauna and Flora_General,0.6842105263157895
United Kingdom,2004,Fauna and Flora_General,Operation of the Antarctic Treaty system Reports,0.6
United Kingdom,2004,Inspections,Site Guidelines for Visitors,0.6842105263157895
United Kingdom,2004,Specially Protected Species,Tourism and NG_Activities,0.6
United States,2004,Environmental Impact Assessment EIA Other EIA Matters,Emergency report and contingency planning,0.6818181818181819
United States,2004,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Uruguay,2004,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Uruguay,2004,Waste management and disposal,Historic Sites and Monuments,0.6923076923076923
ASOC,2005,Fauna and Flora_General,Climate Change,0.5625
ASOC,2005,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
ATS,2005,Operation of the Antarctic Treaty system The Secretariat,Comprehensive Environmental Evaluations,0.6470588235294117
ATS,2005,Operation of the Antarctic Treaty system The Secretariat,Environmental Impact Assessment EIA Other EIA Matters,0.6363636363636364
ATS,2005,Operation of the Antarctic Treaty system The Secretariat,Environmental Monitoring and Reporting,0.8
ATS,2005,Operation of the Antarctic Treaty system The Secretariat,Historic Sites and Monuments,0.7647058823529411
ATS,2005,Operation of the Antarctic Treaty system The Secretariat,Management Plans,0.6470588235294117
ATS,2005,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system General,0.6538461538461539
ATS,2005,Operation of the Antarctic Treaty system The Secretariat,Prevention of marine pollution,0.8235294117647058
Argentina,2005,Operation of the CEP,CEP Strategy Discussions,0.5833333333333333
Argentina,2005,Operational issues,Exchange of Information,0.4545454545454546
Australia,2005,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Australia,2005,Waste management and disposal,International Polar Year,0.5
Australia,2005,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Australia,2005,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
Belgium,2005,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Brazil,2005,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Brazil,2005,Exchange of Information,Science issues,0.5833333333333333
COMNAP,2005,Environmental Impact Assessment EIA Other EIA Matters,Environmental Monitoring and Reporting,0.5909090909090908
COMNAP,2005,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
COMNAP,2005,Operation of the Antarctic Treaty system Reports,Prevention of marine pollution,0.7
Chile,2005,Science issues,Educational issues,0.3846153846153846
Chile,2005,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Chile,2005,Nonnative Species and Quarantine,Prevention of marine pollution,0.6666666666666667
China,2005,Exchange of Information,Operational issues,0.4545454545454546
China,2005,Environmental Protection General,Safety and Operations in Antarctica,0.6799999999999999
Ecuador,2005,Science issues,Exchange of Information,0.5833333333333333
Ecuador,2005,Science issues,Operational issues,0.6666666666666667
France,2005,Comprehensive Environmental Evaluations,Environmental Monitoring and Reporting,0.6
Germany,2005,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Germany,2005,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
IAATO,2005,Cooperation with Other Organisations,Nonnative Species and Quarantine,0.6666666666666667
IAATO,2005,Emergency report and contingency planning,Prevention of marine pollution,0.7272727272727273
IAATO,2005,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
IHO,2005,Operational issues,Science issues,0.6666666666666667
IUCN,2005,Operation of the Antarctic Treaty system Reports,Nonnative Species and Quarantine,0.65
India,2005,Environmental Protection General,Operational issues,0.56
India,2005,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Italy,2005,Management Plans,Comprehensive Environmental Evaluations,0.5625
Italy,2005,Opening statements,Exchange of Information,0.48275862068965514
Japan,2005,International Polar Year,Waste management and disposal,0.5
Netherlands,2005,Exchange of Information,Environmental Protection General,0.48
Norway,2005,Search and Rescue,Prevention of marine pollution,0.7
Peru,2005,Exchange of Information,Inspections,0.5
Romania,2005,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
South Africa,2005,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
South Africa,2005,Search and Rescue,Marine Protected Areas,0.5454545454545454
Spain,2005,Exchange of Information,Biological Prospecting,0.5909090909090908
Sweden,2005,Exchange of Information,Biological Prospecting,0.5909090909090908
Sweden,2005,Environmental Protection General,CEP Strategy Discussions,0.64
Sweden,2005,Exchange of Information,Operational issues,0.4545454545454546
Sweden,2005,Operation of the Antarctic Treaty system General,Waste management and disposal,0.6153846153846154
UNEP,2005,Inspections,Tourism and NG_Activities,0.6842105263157895
Ukraine,2005,Exchange of Information,Tourism and NG_Activities,0.8181818181818181
United Kingdom,2005,Management Plans,Comprehensive Environmental Evaluations,0.5625
United Kingdom,2005,Operation of the Antarctic Treaty system General,Inspections,0.5
United Kingdom,2005,Site Guidelines for Visitors,Prevention of marine pollution,0.6666666666666667
United States,2005,Management Plans,Comprehensive Environmental Evaluations,0.5625
United States,2005,Inspections,Site Guidelines for Visitors,0.6842105263157895
Uruguay,2005,Science issues,Educational issues,0.3846153846153846
Uruguay,2005,Historic Sites and Monuments,Tourism and NG_Activities,0.6923076923076923
ASOC,2006,Environmental Protection General,International Polar Year,0.6799999999999999
ASOC,2006,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
ATS,2006,Management Plans,Area Protection and Management Plans General,0.4375
Argentina,2006,CEP Strategy Discussions,Biological Prospecting,0.5714285714285714
Argentina,2006,Exchange of Information,Educational issues,0.5
Argentina,2006,Management Plans,Historic Sites and Monuments,0.4375
Argentina,2006,Management Plans,Site Guidelines for Visitors,0.6875
Argentina,2006,Specially Protected Species,Tourism and NG_Activities,0.6
Australia,2006,State of the Antarctic Environment Report SAER,CEP Strategy Discussions,0.5833333333333333
Australia,2006,State of the Antarctic Environment Report SAER,Operation of the CEP,0.5
Belgium,2006,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
Belgium,2006,Operational issues,Fauna and Flora_General,0.6842105263157895
Brazil,2006,Management Plans,Area Protection and Management Plans General,0.4375
COMNAP,2006,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
COMNAP,2006,Emergency report and contingency planning,Marine Acoustics,0.6363636363636364
Chile,2006,Exchange of Information,Biological Prospecting,0.5909090909090908
China,2006,Environmental Protection General,Area Protection and Management Plans General,0.6799999999999999
Ecuador,2006,Operational issues,Management Plans,0.5789473684210527
France,2006,Exchange of Information,Biological Prospecting,0.5909090909090908
France,2006,Tourism and NG_Activities,CEP Strategy Discussions,0.6666666666666667
France,2006,Search and Rescue,Emergency report and contingency planning,0.6363636363636364
Germany,2006,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
IHO,2006,Science issues,Cooperation with Other Organisations,0.8333333333333334
India,2006,Environmental Impact Assessment EIA Other EIA Matters,Waste management and disposal,0.5909090909090908
Italy,2006,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Japan,2006,Exchange of Information,Operational issues,0.4545454545454546
Korea (ROK),2006,Safety and Operations in Antarctica,Area Protection and Management Plans General,0.7647058823529411
Korea (ROK),2006,Science issues,Educational issues,0.3846153846153846
New Zealand,2006,Biological Prospecting,Climate Change,0.625
New Zealand,2006,Waste management and disposal,Inspections,0.5263157894736843
New Zealand,2006,Area Protection and Management Plans General,Nonnative Species and Quarantine,0.4666666666666667
Norway,2006,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
Norway,2006,Prevention of marine pollution,Site Guidelines for Visitors,0.6666666666666667
Peru,2006,Inspections,Management Plans,0.5789473684210527
Poland,2006,Area Protection and Management Plans General,Management Plans,0.4375
Romania,2006,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Romania,2006,Environmental Protection General,Operational issues,0.56
Russian Federation,2006,Science issues,Educational issues,0.3846153846153846
Russian Federation,2006,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Russian Federation,2006,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
SCAR,2006,Comprehensive Environmental Evaluations,Environmental Impact Assessment EIA Other EIA Matters,0.5909090909090908
South Africa,2006,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Ukraine,2006,Exchange of Information,Environmental Protection General,0.48
United Kingdom,2006,Biological Prospecting,CEP Strategy Discussions,0.5714285714285714
United Kingdom,2006,Prevention of marine pollution,Marine Protected Areas,0.5454545454545454
United States,2006,Inspections,Waste management and disposal,0.5263157894736843
Uruguay,2006,Exchange of Information,Operational issues,0.4545454545454546
Uruguay,2006,Environmental Monitoring and Reporting,Prevention of marine pollution,0.75
ASOC,2007,Fauna and Flora_General,Area Protection and Management Plans General,0.5625
ASOC,2007,Marine Protected Areas,Human Footprint and wilderness values,0.4545454545454546
Argentina,2007,Biological Prospecting,International Polar Year,0.6428571428571428
Australia,2007,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
Belarus,2007,Biological Prospecting,Science issues,0.7083333333333333
Belgium,2007,Exchange of Information,Biological Prospecting,0.5909090909090908
Belgium,2007,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Brazil,2007,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
COMNAP,2007,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
COMNAP,2007,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Chile,2007,Management Plans,Area Protection and Management Plans General,0.4375
Chile,2007,Emergency report and contingency planning,Search and Rescue,0.6363636363636364
China,2007,Area Protection and Management Plans General,Management Plans,0.4375
Ecuador,2007,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Ecuador,2007,Exchange of Information,Environmental Protection General,0.48
Ecuador,2007,Management Plans,Site Guidelines for Visitors,0.6875
Finland,2007,Exchange of Information,Operational issues,0.4545454545454546
Finland,2007,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
France,2007,Exchange of Information,Environmental Protection General,0.48
France,2007,Exchange of Information,Inspections,0.5
Germany,2007,Environmental Impact Assessment EIA Other EIA Matters,Educational issues,0.5769230769230769
Germany,2007,Drilling,Marine Acoustics,0.5714285714285714
Germany,2007,Environmental Protection General,Operational issues,0.56
IAATO,2007,Nonnative Species and Quarantine,Inspections,0.5789473684210527
IAATO,2007,Emergency report and contingency planning,Liability,0.7058823529411764
IHO,2007,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
India,2007,Management Plans,Comprehensive Environmental Evaluations,0.5625
Italy,2007,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Netherlands,2007,Exchange of Information,Biological Prospecting,0.5909090909090908
Netherlands,2007,Environmental Protection General,International Polar Year,0.6799999999999999
New Zealand,2007,Climate Change,CEP Strategy Discussions,0.5625
New Zealand,2007,Nonnative Species and Quarantine,Cooperation with Other Organisations,0.6666666666666667
New Zealand,2007,Inspections,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
New Zealand,2007,Environmental Domains Analysis,Marine Acoustics,0.5714285714285714
New Zealand,2007,Nonnative Species and Quarantine,Tourism and NG_Activities,0.6666666666666667
Norway,2007,Biological Prospecting,Climate Change,0.625
Norway,2007,Search and Rescue,Emergency report and contingency planning,0.6363636363636364
Norway,2007,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Peru,2007,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Peru,2007,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Poland,2007,Environmental Protection General,Exchange of Information,0.48
Romania,2007,Operational issues,Exchange of Information,0.4545454545454546
Romania,2007,Science issues,International Polar Year,0.625
Russian Federation,2007,Drilling,Marine Acoustics,0.5714285714285714
Russian Federation,2007,Inspections,Marine Protected Areas,0.5789473684210527
Russian Federation,2007,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
SCAR,2007,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
South Africa,2007,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Sweden,2007,Operation of the Antarctic Treaty system General,Inspections,0.5
Sweden,2007,Biological Prospecting,Site Guidelines for Visitors,0.7142857142857143
UNEP,2007,Biological Prospecting,Educational issues,0.6923076923076923
UNEP,2007,Biological Prospecting,International Polar Year,0.6428571428571428
United Kingdom,2007,Area Protection and Management Plans General,Management Plans,0.4375
United Kingdom,2007,Marine Protected Areas,Search and Rescue,0.5454545454545454
United Kingdom,2007,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
United States,2007,Waste management and disposal,Drilling,0.6923076923076923
Uruguay,2007,Science issues,International Polar Year,0.625
ASOC,2008,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
ASOC,2008,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Argentina,2008,Management Plans,Inspections,0.5789473684210527
Australia,2008,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Australia,2008,Operation of the Antarctic Treaty system General,Inspections,0.5
Belgium,2008,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Brazil,2008,Environmental Monitoring and Reporting,CEP Strategy Discussions,0.75
Brazil,2008,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Bulgaria,2008,Exchange of Information,Climate Change,0.7272727272727273
Bulgaria,2008,Exchange of Information,Safety and Operations in Antarctica,0.7727272727272727
COMNAP,2008,Environmental Protection General,Operational issues,0.56
Chile,2008,Operational issues,Exchange of Information,0.4545454545454546
China,2008,Environmental Protection General,CEP Strategy Discussions,0.64
China,2008,Management Plans,Comprehensive Environmental Evaluations,0.5625
China,2008,Area Protection and Management Plans General,Nonnative Species and Quarantine,0.4666666666666667
Czechia,2008,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Ecuador,2008,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Ecuador,2008,Management Plans,Fauna and Flora_General,0.625
Germany,2008,Operational issues,Safety and Operations in Antarctica,0.631578947368421
IAATO,2008,Emergency report and contingency planning,Search and Rescue,0.6363636363636364
India,2008,Waste management and disposal,International Polar Year,0.5
India,2008,Management Plans,Nonnative Species and Quarantine,0.5625
New Zealand,2008,Marine Acoustics,Drilling,0.5714285714285714
New Zealand,2008,Environmental Impact Assessment EIA Other EIA Matters,Educational issues,0.5769230769230769
New Zealand,2008,Area Protection and Management Plans General,Specially Protected Species,0.5384615384615384
Norway,2008,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Romania,2008,Environmental Protection General,Area Protection and Management Plans General,0.6799999999999999
Romania,2008,Operational issues,Nonnative Species and Quarantine,0.5789473684210527
Russian Federation,2008,Area Protection and Management Plans General,Climate Change,0.6875
Russian Federation,2008,Marine Protected Areas,Tourism and NG_Activities,0.5454545454545454
South Africa,2008,Exchange of Information,Operational issues,0.4545454545454546
Spain,2008,Fauna and Flora_General,Climate Change,0.5625
Spain,2008,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Spain,2008,Management Plans,Site Guidelines for Visitors,0.6875
Ukraine,2008,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Ukraine,2008,Science issues,Safety and Operations in Antarctica,0.6666666666666667
Ukraine,2008,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
United Kingdom,2008,CEP Strategy Discussions,Climate Change,0.5625
United Kingdom,2008,Waste management and disposal,Drilling,0.6923076923076923
United States,2008,Management Plans,Area Protection and Management Plans General,0.4375
United States,2008,Inspections,Marine Protected Areas,0.5789473684210527
Uruguay,2008,Operational issues,Nonnative Species and Quarantine,0.5789473684210527
Uruguay,2008,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Venezuela,2008,Opening statements,Science issues,0.5517241379310345
ACAP,2009,Cooperation with Other Organisations,Fauna and Flora_General,0.625
ASOC,2009,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
ATS,2009,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Argentina,2009,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Australia,2009,Nonnative Species and Quarantine,Prevention of marine pollution,0.6666666666666667
Belgium,2009,Fauna and Flora_General,Cooperation with Other Organisations,0.625
Belgium,2009,Fauna and Flora_General,Search and Rescue,0.6875
Brazil,2009,CEP Strategy Discussions,Biological Prospecting,0.5714285714285714
Brazil,2009,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Brazil,2009,Science issues,International Polar Year,0.625
Brazil,2009,Management Plans,Operational issues,0.5789473684210527
Bulgaria,2009,Climate Change,Biological Prospecting,0.625
Bulgaria,2009,Safety and Operations in Antarctica,Science issues,0.6666666666666667
Canada,2009,Educational issues,Environmental Monitoring and Reporting,0.6153846153846154
Ecuador,2009,Science issues,Educational issues,0.3846153846153846
Finland,2009,Inspections,Biological Prospecting,0.6842105263157895
Finland,2009,Science issues,Educational issues,0.3846153846153846
France,2009,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Germany,2009,Environmental Protection General,Biological Prospecting,0.64
Germany,2009,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Italy,2009,Management Plans,Area Protection and Management Plans General,0.4375
Korea (ROK),2009,Exchange of Information,Environmental Protection General,0.48
Norway,2009,Environmental Impact Assessment EIA Other EIA Matters,Inspections,0.5454545454545454
Norway,2009,Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system General,0.5769230769230769
Peru,2009,Management Plans,Fauna and Flora_General,0.625
Romania,2009,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Russian Federation,2009,Climate Change,Cooperation with Other Organisations,0.75
Russian Federation,2009,Area Protection and Management Plans General,Management Plans,0.4375
SCAR,2009,Marine Acoustics,Environmental Domains Analysis,0.5714285714285714
SCAR,2009,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
South Africa,2009,Climate Change,Fauna and Flora_General,0.5625
United Kingdom,2009,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
United States,2009,Inspections,Operation of the Antarctic Treaty system General,0.5
United States,2009,Marine Protected Areas,Search and Rescue,0.5454545454545454
Uruguay,2009,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
ASOC,2010,Environmental Protection General,Inspections,0.52
ASOC,2010,Environmental Protection General,Operational issues,0.56
Argentina,2010,Management Plans,Historic Sites and Monuments,0.4375
Argentina,2010,Inspections,Operation of the Antarctic Treaty system General,0.5
Australia,2010,CEP Strategy Discussions,Climate Change,0.5625
Australia,2010,Operation of the CEP,Human Footprint and wilderness values,0.5454545454545454
Belgium,2010,Search and Rescue,Marine Protected Areas,0.5454545454545454
COMNAP,2010,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
COMNAP,2010,Operational issues,Exchange of Information,0.4545454545454546
